iddocumentocontable,idcentro_costos,idtipo_documento,idestado,idestadosunat,idmoneda,idcondicion_pago,id_serie,idempresa,tipo_operacion,numero_documento,id_origen,direccion,codigo_pedido,serie_pedido,id_modulo,identidad_emisor,identidad_receptora,monto_subtotal,monto_igv,monto_total,monto_total_desc,valorigv,fecha_emision,fecha_anulacion,fecha_vencimiento,otros_tributos,otros_cargos,observacion,log_usuariocreacion,log_fechacreacion,log_usuariomodif,log_fechamodif,log_estado,monto_isc,serie_compras,total_precio_venta,peso_bruto,peso_neto,monto_igv_gratuito,codigoordencompra
1928249,NULL,1003,2,2,1,55,378,68007,2,213,NULL,CAL.RICARDO PALMA NRO. 606B URB. JESUS MARIA AREQUIPA - AREQUIPA - PAUCARPATA,NULL,NULL,00:00.0,00:00.0,00:00.0,10169.49,1830.51,12000,DOCE MIL CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,vcoa-cst,21:13.7,vcoa-cst,21:24.7,1,0,NULL,12000,0,0,0,NULL
1928269,NULL,1003,2,2,1,55,378,68007,2,214,NULL, LT. 13 MZ. C - P.J. CESAR VALLEJO - PAUCARPATA - AREQUIPA - AREQUIPA,NULL,NULL,00:00.0,00:00.0,00:00.0,10169.49,1830.51,12000,DOCE MIL CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,vcoa-cst,24:01.6,DEMONIO,00:49.8,1,0,NULL,12000,0,0,0,NULL
1917741,NULL,2011,13,8,1,1,417,68007,0,13137,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,06:08.8,larias.rcp-cst,06:11.3,1,0,NULL,200,0,0,0,NULL
1917743,NULL,2011,14,8,1,1,417,68007,0,13138,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,07:05.6,larias.rcp-cst,07:34.5,1,0,NULL,200,0,0,0,NULL
1917744,NULL,1003,2,2,1,55,378,68007,2,208,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,07:26.1,larias.rcp-cst,07:35.6,1,0,NULL,200,0,0,0,NULL
1917745,NULL,2011,14,8,1,1,417,68007,0,13139,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,07:28.8,larias.rcp-cst,08:18.7,1,0,NULL,200,0,0,0,NULL
1917747,NULL,1003,2,2,1,55,378,68007,2,209,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,08:08.1,larias.rcp-cst,08:20.1,1,0,NULL,200,0,0,0,NULL
1902657,NULL,2011,14,8,1,1,417,68007,0,13135,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,04:35.5,larias.rcp-cst,05:05.3,1,0,NULL,110,0,0,0,NULL
1902659,NULL,2015,2,8,1,55,398,68007,2,700,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,04:55.6,larias.rcp-cst,05:03.8,1,0,NULL,110,0,0,0,NULL
1902678,NULL,2011,14,8,1,1,417,68007,0,13136,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,07:43.3,larias.rcp-cst,08:14.0,1,0,NULL,110,0,0,0,NULL
1902680,NULL,2015,2,8,1,55,398,68007,2,701,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,08:05.2,larias.rcp-cst,08:11.5,1,0,NULL,110,0,0,0,NULL
1902688,NULL,2015,2,8,1,55,398,68007,2,702,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,67.8,12.2,80,OCHENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,09:48.0,larias.rcp-cst,09:52.5,1,0,NULL,80,0,0,0,NULL
1902693,NULL,2015,2,8,1,55,398,68007,2,703,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,42.37,7.63,50,CINCUENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,10:54.6,larias.rcp-cst,10:57.8,1,0,NULL,50,0,0,0,NULL
1902699,NULL,2015,2,8,1,55,398,68007,2,704,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,24.58,4.42,29,VEINTINUEVE CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,12:57.0,larias.rcp-cst,13:01.4,1,0,NULL,29,0,0,0,NULL
1896881,NULL,1003,2,2,1,55,378,68007,2,207,NULL,MZA. N LOTE. 5 URB. JESUS MARIA AREQUIPA - AREQUIPA - PAUCARPATA,NULL,NULL,00:00.0,00:00.0,00:00.0,25.11,4.52,29.63,VEINTINUEVE CON 63/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,vcoa-cst,06:08.0,vcoa-cst,06:14.6,1,0,NULL,29.63,0,0,0,NULL
1892339,NULL,2011,14,8,1,1,417,68007,0,13133,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,28:16.5,larias.rcp-cst,28:57.0,1,0,NULL,200,0,0,0,NULL
1892340,NULL,1003,2,2,1,55,378,68007,2,205,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,28:41.6,DEMONIO,06:25.0,1,0,NULL,200,0,0,0,NULL
1892342,NULL,2011,14,8,1,1,417,68007,0,13134,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,29:35.6,larias.rcp-cst,30:09.5,1,0,NULL,200,0,0,0,NULL
1892343,NULL,1003,2,2,1,55,378,68007,2,206,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,30:01.0,larias.rcp-cst,30:11.4,1,0,NULL,200,0,0,0,NULL
1886638,NULL,2015,2,8,1,55,398,68007,2,698,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,4.24,0.76,5,CINCO CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,19:48.0,larias.rcp-cst,19:50.8,1,0,NULL,5,0,0,0,NULL
1886647,NULL,2015,2,8,1,55,398,68007,2,699,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,5.93,1.07,7,SIETE CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,21:56.0,larias.rcp-cst,21:58.9,1,0,NULL,7,0,0,0,NULL
1885054,NULL,2011,14,8,1,1,417,68007,0,13132,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,39:30.4,larias.rcp-cst,40:08.3,1,0,NULL,110,0,0,0,NULL
1885056,NULL,2015,2,8,1,55,398,68007,2,697,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,39:57.9,larias.rcp-cst,40:05.1,1,0,NULL,110,0,0,0,NULL
1866096,NULL,2011,14,8,1,1,417,68007,0,13131,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,279.66,50.34,330,TRESCIENTOS TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,20:48.9,larias.rcp-cst,22:16.9,1,0,NULL,330,0,0,0,NULL
1866102,NULL,2015,2,8,1,55,398,68007,2,696,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,279.66,50.34,330,TRESCIENTOS TREINTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,22:08.4,larias.rcp-cst,22:14.6,1,0,NULL,330,0,0,0,NULL
1838752,NULL,2011,14,8,1,1,417,68007,0,13130,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,42:29.2,larias.rcp-cst,42:54.7,1,0,NULL,100,0,0,0,NULL
1838753,NULL,2015,2,8,1,55,398,68007,2,695,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,42:48.1,larias.rcp-cst,42:53.3,1,0,NULL,100,0,0,0,NULL
1838755,NULL,2015,2,8,1,55,399,68007,2,1402,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,88.98,16.02,105,CIENTO CINCO CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,costasur_rst,44:50.6,costasur_rst,44:54.7,1,0,NULL,105,0,0,0,NULL
1828747,NULL,1003,2,2,1,55,378,68007,2,204,NULL,MZA. D LOTE. 13 URB. CESAR VALLEJO AREQUIPA - AREQUIPA - PAUCARPATA,NULL,NULL,00:00.0,00:00.0,00:00.0,16949.15,3050.85,20000,VEINTE MIL CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,vcoa-cst,06:53.2,vcoa-cst,07:15.4,1,0,NULL,20000,0,0,0,NULL
1830706,NULL,2011,14,8,1,1,417,68007,0,13128,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,186.44,33.56,220,DOSCIENTOS VEINTE CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,59:45.8,larias.rcp-cst,00:14.3,1,0,NULL,220,0,0,0,NULL
1830708,NULL,2015,2,8,1,55,398,68007,2,694,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,186.44,33.56,220,DOSCIENTOS VEINTE CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,00:05.7,larias.rcp-cst,00:11.9,1,0,NULL,220,0,0,0,NULL
1830719,NULL,2011,14,8,1,55,417,68007,0,13129,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,108.47,19.53,128,CIENTO VEINTIOCHO CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,costasur_rst,02:37.0,costasur_rst,02:46.2,1,0,NULL,128,0,0,0,NULL
1830721,NULL,2015,2,8,1,55,399,68007,2,1401,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,108.47,19.53,128,CIENTO VEINTIOCHO CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,costasur_rst,02:46.6,costasur_rst,02:55.5,1,0,NULL,128,0,0,0,NULL
1825022,NULL,2011,18,8,1,55,417,68007,0,13125,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,33.9,6.1,40,CUARENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,08:48.8,larias.rcp-cst,08:58.9,1,0,NULL,40,0,0,0,NULL
1825032,NULL,2011,14,8,1,1,417,68007,0,13126,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,186.44,33.56,220,DOSCIENTOS VEINTE CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,09:38.7,larias.rcp-cst,11:03.9,1,0,NULL,220,0,0,0,NULL
1825041,NULL,2015,2,8,1,145,398,68007,2,692,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,186.44,33.56,220,DOSCIENTOS VEINTE CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,10:56.2,larias.rcp-cst,11:01.8,1,0,NULL,220,0,0,0,NULL
1826105,NULL,2011,14,8,1,1,417,68007,0,13127,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,22:03.5,larias.rcp-cst,23:30.7,1,0,NULL,130,0,0,0,NULL
1826106,NULL,2015,2,8,1,144,398,68007,2,693,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,23:21.5,larias.rcp-cst,23:28.3,1,0,NULL,130,0,0,0,NULL
1821325,NULL,2011,14,8,1,1,417,68007,0,13115,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,19:56.8,larias.rcp-cst,20:26.3,1,0,NULL,200,0,0,0,NULL
1821327,NULL,1003,2,2,1,55,378,68007,2,194,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,20:18.9,larias.rcp-cst,20:27.6,1,0,NULL,200,0,0,0,NULL
1821334,NULL,2011,14,8,1,1,417,68007,0,13116,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,21:51.2,larias.rcp-cst,22:24.8,1,0,NULL,200,0,0,0,NULL
1821337,NULL,1003,2,2,1,55,378,68007,2,195,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,22:15.9,larias.rcp-cst,22:24.1,1,0,NULL,200,0,0,0,NULL
1821344,NULL,2011,14,8,1,1,417,68007,0,13117,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,22:57.7,larias.rcp-cst,23:31.1,1,0,NULL,200,0,0,0,NULL
1821345,NULL,1003,2,2,1,55,378,68007,2,196,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,169.49,30.51,200,DOSCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,23:21.0,larias.rcp-cst,23:30.4,1,0,NULL,200,0,0,0,NULL
1822277,NULL,2011,14,8,1,1,417,68007,0,13118,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,194.92,35.08,230,DOSCIENTOS TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,08:24.8,larias.rcp-cst,09:25.2,1,0,NULL,230,0,0,0,NULL
1822279,NULL,1003,2,2,1,145,378,68007,2,197,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,194.92,35.08,230,DOSCIENTOS TREINTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,09:17.4,larias.rcp-cst,09:25.9,1,0,NULL,230,0,0,0,NULL
1822293,NULL,2011,14,8,1,1,417,68007,0,13119,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,12:51.3,larias.rcp-cst,13:27.3,1,0,NULL,130,0,0,0,NULL
1822294,NULL,2011,14,8,1,1,417,68007,0,13120,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,12:58.5,larias.rcp-cst,14:55.9,1,0,NULL,130,0,0,0,NULL
1822296,NULL,1003,2,2,1,145,378,68007,2,198,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,13:20.6,larias.rcp-cst,13:29.2,1,0,NULL,130,0,0,0,NULL
1822302,NULL,1003,2,2,1,145,378,68007,2,199,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,14:44.7,larias.rcp-cst,14:55.8,1,0,NULL,130,0,0,0,NULL
1822310,NULL,2011,14,8,1,1,417,68007,0,13121,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,16:38.5,larias.rcp-cst,17:44.3,1,0,NULL,130,0,0,0,NULL
1822314,NULL,1003,2,2,1,145,378,68007,2,200,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,17:33.2,larias.rcp-cst,17:45.6,1,0,NULL,130,0,0,0,NULL
1822315,NULL,2011,14,8,1,1,417,68007,0,13122,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,152.54,27.46,180,CIENTO OCHENTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,18:52.1,larias.rcp-cst,20:12.8,1,0,NULL,180,0,0,0,NULL
1822316,NULL,1003,2,2,1,144,378,68007,2,201,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,152.54,27.46,180,CIENTO OCHENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,20:03.0,larias.rcp-cst,20:11.8,1,0,NULL,180,0,0,0,NULL
1822325,NULL,2011,14,8,1,1,417,68007,0,13123,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,21:39.9,larias.rcp-cst,22:36.0,1,0,NULL,130,0,0,0,NULL
1822332,NULL,2011,14,8,1,1,417,68007,0,13124,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,110.17,19.83,130,CIENTO TREINTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,22:21.0,larias.rcp-cst,26:16.5,1,0,NULL,130,0,0,0,NULL
